,USA,FEMA_1,FEMA_2,FEMA_3,FEMA_4,FEMA_5,FEMA_6,FEMA_7,FEMA_8,FEMA_9,FEMA_10,g23g33g25,g36,g51,g13,g17,g48,g29,g46,g06,g16
QFHH_ACS,0.2077604703171245,0.2616337839964753,-0.046361957887180436,0.09642517019599717,-0.010994642211009879,0.24974485256217333,0.08929035679983942,0.4998388185094629,0.008580320735433682,0.22444382953441566,0.45285601883208204,0.557134276130066,0.2711985403521267,-0.03571381973194984,-0.07376854562817306,-0.19485247422098625,0.2208691804075257,0.21031302704319735,0.059313120097063236,-0.1471812838342213,0.5045648098423645
QUNOCCHU_ACS,0.2797475668065846,-0.2416669669552846,0.5103561810513473,0.7603163072293178,0.37702476447822114,0.31493798938182344,0.13724235319517072,-0.16861253340138915,0.454153443937253,0.44967433196758133,-0.2685244165082812,-0.12542205642552717,0.1419585812692003,0.5050779564641136,0.20224805168104296,0.4215578578899338,0.28198273450038985,0.4014234650887495,0.7326453990887245,-0.4060318075756414,-0.28286552594833503
PERCAP_ALT,0.27911952814027946,0.04536348948413883,-0.07689332113925265,0.2500787580415167,0.14973948844937432,0.2352852410364068,0.3793501285408686,0.2336896051532258,0.2684777924689626,0.08438804386649809,0.17824069063431797,0.09228133990502338,0.12611820985315367,0.15143577057630855,-0.09523002700449296,0.09866754858984972,0.19136394547393465,0.18676510938687235,0.247792191907743,-0.15315670742152843,0.1983791958025272
QESL_ALT,0.48155504057766363,0.2979608100469499,-0.12055761333621987,0.5767969357112724,0.4725038467180301,0.46956365606939643,0.32453491168720716,0.3929063171719569,0.378782763516557,0.485430140141784,0.24251391673347503,0.36227354978740656,-0.03782444463239873,0.5856661650565478,0.4974209540903748,-0.036800554884318576,-0.05973981889512584,0.443789120521791,0.3146096506462372,0.30468302652922213,0.2087449436019574
QCVLUN,-0.1501231023470777,0.6871652296979779,0.20244322142069646,0.21345821534753393,0.16401734897666675,-0.2188277672488398,-0.1085044413090169,-0.1116769630984064,0.5234971204059152,0.2625706773378448,0.15238045992139915,0.7443583694916917,-0.16521884961453237,0.307608732746813,0.345262899351636,0.2501655883433726,0.4004360139751474,-0.17894792793077727,0.13275565690754876,0.41069978569863547,0.27585792221688193
QPOVTY,0.3433995231436592,0.14813583314771017,0.2537152324199974,0.17161237904073962,0.28862823094866086,0.24705017708035773,0.45292236646003203,0.2810651156320771,0.2704692028805406,0.5062418675495196,0.3858777155503931,0.02463064248028171,0.28319888842874213,0.3310060993436711,0.3314678721444656,0.424404726939802,0.32640445178129185,0.39630137092533957,0.1449900529040043,0.19155084741071257,0.3552863824584874
QMOHO,-0.3672640772365573,-0.19815389990105473,0.06560206941065441,0.039076711329324575,0.038558241977656824,-0.24614998489415812,-0.5850721679975888,-0.20434170680609748,0.2462721984976403,-0.1517266354668474,0.21343025331212964,-0.4667963664176197,-0.01856651428681394,0.27838631618216053,0.07585833632958722,0.31295453069576507,-0.4332149094541722,0.028339476808053397,0.7326004522583327,0.30481445667348445,0.40091149710596163
QED12LES_ALT,0.14006797763333262,0.42156576702325155,0.07757298280938246,0.32391420701668083,0.13606520747981807,0.20709827417160148,0.10860755757851184,0.39430171100455613,0.23078177741271874,0.4601611790582444,0.33779258340478335,0.4478369574546305,0.19058617569597558,0.487698031277626,0.27203672898023223,0.0584101981269538,0.07944349442822778,-0.053476756838856936,-0.008216341728025555,0.5235311103906444,0.42229939724422627
QFEMLBR,0.5056241107661008,0.10172182852511269,0.508536007303563,0.06993676045213107,0.16179413279704735,0.13970199457422622,0.47999474387650765,0.15852156709391818,0.7896826491861355,0.28147567958101344,0.4060464121197863,0.30318604281039574,0.44896341475264057,-0.19030668377365928,-0.3049783011341198,-0.19543435277504934,0.12970226127044487,0.5401937060606417,0.3972252969406428,-0.4317643399828289,0.36462510506713736
QEXTRCT_ALT,0.1145983671802927,0.23317165905061174,-0.14860677196697986,-0.02016618003131733,0.05660601882510671,0.31866352556997135,-0.2281107532321971,-0.05024930489633844,-0.16660826755163233,-0.20543846968637933,0.051555655379498994,0.22387656465346217,0.033279540345768494,0.5137276544782897,0.5079323941878445,0.3876025010669827,0.00459109503436389,0.10819909999934085,0.15197983714632687,0.8928363610481455,0.09131543858711579
QSERV_ALT,0.6476119871113175,-0.11751164806333073,0.4277911200074428,0.655836266135261,0.8111889439785666,0.10708576352764684,0.6145438132819239,0.206209652389987,0.200808791101406,0.34915615606215034,0.4429444178234207,-0.09710109833106895,-0.01949988083877094,0.230934231100862,0.09985335805623285,0.3173055103333623,0.38827299002685284,0.25630386250289194,0.2414407367972205,0.3169686891460565,0.16270794719968662
QSSBEN,0.40225278626977423,0.4647073643714203,0.1335391383184032,0.24175156041446302,0.24886137093329744,0.308010654483004,0.33912632184685,0.168347138176488,0.6785403873288327,0.47202254872745847,0.2678114967766539,0.49988299183760376,0.3131504309947571,0.24199080119394883,0.23425979329675672,0.1770653475310873,0.26479463575761214,0.23799601090167458,0.36313645460910443,0.2618692213767969,0.1680811719161325
QNOAUTO_ALT,0.3993236464058477,0.08042666496369005,0.3527388750292858,0.0966418965224562,0.2376263495562279,0.586118086794594,0.04382444436106381,0.33849167168516653,0.24332373221854137,0.5695722150746048,0.31884518043877763,0.000771823070879557,0.21394226418042145,0.31006623681791456,0.3130868965291343,0.13754109524657046,0.4485935157594437,0.06881838714135395,0.015364377910742688,0.47266968728301395,0.21739344446739228
QFAM,0.2938900873969539,-0.09147796687976503,0.2453645476828754,0.28725086433346886,0.1953681695936862,0.3823752060718951,-0.043125159563476054,0.5047674817463844,0.18089057427531918,0.29528838830877135,0.5043285683235319,0.04807745821461215,0.542871149778698,0.0994974310639622,0.083970161417261,0.07126822548104197,0.4452448996917263,0.48627787726794713,0.28037392647600534,0.05150281986004557,0.5493295939917002
QRICH200K,0.21529481021776806,-0.19597016811841433,0.07471593305834202,0.11990602542560845,0.2145422697689075,0.09744560808508693,0.2633260214486185,0.03446140868768505,0.3060254332592473,-0.15128536955390148,0.14983942008666035,-0.160932759579076,0.21689951164037455,-0.04251741815308385,-0.3045588257369202,0.04418185327683146,0.15578135334949164,0.04856943278385428,0.5469086904791797,-0.14867650744164668,0.1719808803098205
MDGRENT_ALT,0.2264734580998376,0.26685462195346565,0.1312059163374201,0.03696935570798321,0.058969052091550414,0.2417884987597485,0.30127645914424167,0.3074983494334439,-0.11878144522529144,0.05913336079477991,0.06507455038001725,0.20058027500012304,0.29618842087633496,0.08240083012365748,0.2981098799328737,0.27559883073653135,0.35197739176860265,0.17655811862669205,0.1465325689064269,0.06723880587402027,0.06195464373443024
MHSEVAL_ALT,0.14497285899024284,0.2686198355747379,-0.06305698436440259,0.09329271730716848,0.05084331875072638,0.10607083458609029,0.17547666276295662,0.4349162074872087,-0.10062800515580175,-0.33964191977927505,0.0790933886947877,0.10638426636099561,0.11774114241560038,0.08894304040774924,0.03644295790850538,0.1530243110885956,0.33810329312049814,0.27358517634482504,0.0947131836750348,-0.1588724355308993,0.3151108600642569
POPDENS,0.15507387953497112,-0.0715410332339691,0.3831040841596043,0.10077507249446631,0.15970911112067032,0.2689178372841133,0.2033136421161098,0.0975952103256182,0.6516149064455139,0.34645932499472776,-0.25243543177949346,-0.19395699215342466,0.1669237083333614,0.3067053581916371,0.2313603093241367,0.12514079231564415,0.32069059125889765,0.08296534384702214,0.20873925133317917,0.41155523241692543,0.17531287185765732
