GEOID,sovi,rank
g18075,0.09117201410414982,1530.0
g18077,0.2742549141630496,1431.0
g18079,-2.5289057372558257,2631.0
g18081,-3.3473451432917436,2832.0
g18083,-0.11589975214824988,1646.0
g18085,-2.700844592774143,2683.0
g18087,-0.518935024618336,1881.0
g18089,0.8927440095342192,1083.0
g18091,-1.3017977594857157,2254.0
g18093,-0.1587666573184684,1673.0
g18095,0.7176810489314721,1183.0
g18097,0.7846946581101131,1146.0
g18099,-1.1041364008777554,2151.0
g18101,-2.122498102565153,2530.0
g18103,-1.8655139850912776,2446.0
g18105,-2.0343027906662074,2501.0
g18107,-0.7275528640856355,1981.0
g18109,-2.7868135672242875,2704.0
g18111,-1.2730209808446724,2240.0
g18113,-1.2978894742804874,2253.0
g18115,-0.6631247679341479,1943.0
g18117,-0.3869922065738933,1807.0
g18119,-1.8712622242206634,2448.0
g18121,-1.0298982408989994,2109.0
g18123,-2.4583773628296077,2613.0
g18125,-2.4960266453586444,2625.0
g18127,-3.25650892242319,2810.0
g18129,-3.078507493309239,2775.0
g18131,-1.1088579602380033,2156.0
g18133,-3.5507924235796344,2863.0
g18135,-0.11946554128261885,1649.0
g18137,-0.7925704532116702,2007.0
g18139,-1.1060534294155973,2153.0
g18141,0.017353094519287016,1572.0
g18143,-1.2042758620188416,2210.0
g18145,-0.9653664561279351,2087.0
g18147,-2.8858730315950427,2725.0
g18149,-0.21511770486421383,1702.0
g18151,-2.4210547453777655,2603.0
g18153,-2.5069561658681776,2626.0
g18155,0.00028081681133107494,1579.0
g18157,-2.641694359232294,2670.0
g18159,-0.5844791216344742,1908.0
g18161,-1.8533698409543828,2441.0
g18163,0.7201498914190196,1179.0
g18165,0.8548656707214087,1108.0
g18167,-0.27943864450951206,1745.0
g18169,1.640004364347531,750.0
g18171,-2.785973619639017,2703.0
g18173,-3.4390590334339546,2848.0
g18175,-1.7836840550381314,2423.0
g18177,2.6689297488009176,404.0
g18179,-0.8666995285384352,2047.0
g18181,-0.4313996278898186,1830.0
g18183,-3.1897071846680944,2800.0
g19001,0.2724529502417462,1433.0
g19003,1.6350400960691402,751.0
g19005,0.8394270791141524,1118.0
g19007,1.5655808034773995,779.0
g19009,2.513921642920273,435.0
g19011,-2.108267065058274,2524.0
g19013,-0.05711364441717581,1610.0
g19015,-1.6492263264871045,2371.0
g19017,-1.7188466943977114,2397.0
g19019,-1.9496667460380008,2474.0
g19021,1.1840561811210626,943.0
g19023,0.5063517131865991,1303.0
g19025,2.5740256946601634,422.0
g19027,1.5074487714937195,811.0
g19029,1.584663730671649,771.0
g19031,-1.2178965974414442,2212.0
