GEOID,sovi,rank,state_id
g06001,-2.456297875585541,48.0,g06
g06003,-4.709126226507387,58.0,g06
g06005,0.5359477799221251,20.0,g06
g06007,-0.134669298893974,26.0,g06
g06009,-3.1315418280303997,52.0,g06
g06011,5.311959412369455,3.0,g06
g06013,-3.247473839707404,53.0,g06
g06015,2.84301580294467,10.0,g06
g06017,-4.267482149568286,56.0,g06
g06019,1.698753363658855,16.0,g06
g06021,2.7412349745103883,11.0,g06
g06023,-1.6701275675232936,44.0,g06
g06025,3.8443780895372326,6.0,g06
g06027,-0.6629368780438307,31.0,g06
g06029,2.4407951887031367,12.0,g06
g06031,5.500011464507812,1.0,g06
g06033,0.8243768051189524,19.0,g06
g06035,4.631619745304933,5.0,g06
g06037,0.216388459324392,23.0,g06
g06039,3.8315142000185722,7.0,g06
g06041,-1.4792090666045188,42.0,g06
g06043,-0.08858299401474112,25.0,g06
g06045,0.29892050259091363,22.0,g06
g06047,2.3938121674985604,13.0,g06
g06049,5.174921857341387,4.0,g06
g06051,-4.295685020893927,57.0,g06
g06053,3.2859791405432386,9.0,g06
g06055,1.7300163654480705,15.0,g06
g06057,-2.768976127555996,50.0,g06
g06059,-0.7841843406010518,32.0,g06
g06061,-4.057573814339592,55.0,g06
g06063,-0.9346881085281297,34.0,g06
g06065,-1.7800025388490015,45.0,g06
g06067,-2.89957372586778,51.0,g06
g06069,-0.016249856447993705,24.0,g06
g06071,-2.5847787828666275,49.0,g06
g06073,-1.5653842046282502,43.0,g06
g06075,5.42529324724141,2.0,g06
g06077,-0.7921730194358727,33.0,g06
g06079,-0.2619894691485428,29.0,g06
g06081,-1.278391896894199,40.0,g06
g06083,1.9975267758113553,14.0,g06
g06085,-1.2489458278497834,39.0,g06
g06087,-0.2804166998720994,30.0,g06
g06089,-1.0750778942611403,36.0,g06
g06091,-1.9082226572190286,47.0,g06
g06093,-0.17318864869602696,27.0,g06
g06095,-3.7113484043499954,54.0,g06
g06097,-1.1325307843784607,37.0,g06
g06099,0.4984146001620126,21.0,g06
g06101,0.897284022296222,18.0,g06
g06103,1.2396848624374055,17.0,g06
g06105,-1.4052232534644247,41.0,g06
g06107,3.63263967916527,8.0,g06
g06109,-0.2021790975970021,28.0,g06
g06111,-1.2385066277004952,38.0,g06
g06113,-1.81293373094001,46.0,g06
g06115,-0.9388162495915122,35.0,g06
g13001,1.9984989711226755,27.0,g13
g13003,4.20694431248645,10.0,g13
g13005,0.9914976080209927,59.0,g13
g13007,3.254098095018091,15.0,g13
g13009,0.03021797689501271,81.0,g13
g13011,-0.28624209460276395,90.0,g13
g13013,-2.4359871694113053,130.0,g13
g13015,-3.0441965044706425,140.0,g13
g13017,1.4045387767240791,40.0,g13
g13019,1.3124291253206595,44.0,g13
g13021,-0.8582146352234371,103.0,g13
g13023,-0.5413036587866307,95.0,g13
g13025,-0.48169054131596484,94.0,g13
g13027,2.0356945853775708,26.0,g13
g13029,-4.409649260673078,151.0,g13
g13031,-2.86956102170228,137.0,g13
g13033,-0.3953109440920392,92.0,g13
g13035,-0.9022222494085652,105.0,g13
g13037,8.482490260563896,1.0,g13
g13039,-4.851624645795555,156.0,g13
g13043,1.8588749111398677,30.0,g13
g13045,-2.70561654757384,133.0,g13
g13047,-3.66392794249701,146.0,g13
g13049,1.264790064830168,46.0,g13
g13051,-1.8957916018938104,121.0,g13
g13053,-7.384389858154005,159.0,g13
g13055,0.9865671331320942,60.0,g13
g13057,-3.705435792620381,147.0,g13
g13059,-0.00015080348265739119,83.0,g13
g13061,6.8254166143749995,3.0,g13
g13063,-0.8915743242581675,104.0,g13
g13065,0.7102945439174394,69.0,g13
g13067,-0.6871729417692282,97.0,g13
g13069,0.8769025404669737,61.0,g13
g13071,2.78746523173629,18.0,g13
g13073,-3.2262065573904914,143.0,g13
g13075,-0.15540990559000473,88.0,g13
g13077,-2.9780270217246487,138.0,g13
g13079,-3.14082717167183,141.0,g13
g13081,0.12564390576810391,80.0,g13
g13083,-2.1211043043313995,125.0,g13
g13085,-2.3223257743003414,129.0,g13
g13087,0.2966660657547874,76.0,g13
g13089,0.6599082631699874,70.0,g13
g13091,1.107140870391697,52.0,g13
g13093,3.546417033411158,13.0,g13
g13095,-1.4190182819016246,114.0,g13
g13097,-4.128428889872511,149.0,g13
g13099,1.711377401715449,34.0,g13
g13101,5.3361425024832085,6.0,g13
g13103,-5.386768214896625,157.0,g13
g13105,0.24184645195412685,78.0,g13
g13107,1.0119426670022411,58.0,g13
g13109,1.2534800305681775,47.0,g13
g13111,-0.7823399295367586,99.0,g13
g13113,-2.4499400745965207,131.0,g13
g13115,-0.24355940239202722,89.0,g13
