,QAGEDEP_ACS,QFEMALE_ACS,QSERV_ALT,QHISP_ACS,QFEMLBR,QNATAM_ACS,QESL_ALT,QSSBEN,QNOAUTO_ALT,QMOHO,QPOVTY,QNRRES_ACS,QFAM,QUNOCCHU_ACS,PERCAP_ALT,BLACK_ACS,MDGRENT_ALT,QRICH200K,MEDAGE_ACS,QFHH_ACS,PRENTER_ACS,POPDENS,QCVLUN,MHSEVAL_ALT,QED12LES_ALT,QEXTRCT_ALT,QASIAN_ACS,QPUNIT_ACS
QRICH200K,0.1821793964575464,0.1676990320253243,0.14024951209352843,0.2246400406901175,0.216100632143932,0.09311521748438228,0.18610027762347583,0.1039473154245435,0.18681186489318746,0.21797741476688506,0.2192004122904671,0.12091829600936685,0.10561288563495869,0.10380301000557343,0.13177025775452184,0.024495170982805715,0.31464424010056696,,0.19979807916287612,0.2202725870576772,0.13263416224659078,0.1722136057846431,0.20381728156560774,0.011580716093232038,0.22253250432242233,0.11281345390988395,0.10312565853449614,0.2339822411066587
MEDAGE_ACS,0.16752659513357543,0.14370908958450634,0.22955945303536,0.18361901623527835,0.15670402585029286,0.26650176536556824,0.1805395750348352,0.2977590950267785,0.20411599898581317,0.20236460182775656,0.22381137492272715,0.20429906023669947,0.19844155224152088,0.26590902188356513,0.1917902649660269,0.2227716979986366,0.17322087218446552,0.22655501853657178,,0.21359504330465545,0.16532625248598778,0.24409190578595436,0.2084270682873695,0.29830123674583575,0.20454184051427626,0.2046728803855227,0.2073676386040545,0.20995740804952995
QFHH_ACS,0.05063453466158153,0.13655000319993782,0.22414729670815167,0.16130467947064725,0.003010216768633431,0.26982222166283487,0.17491622149577124,0.272478147825653,0.2187369468517199,0.14619243436542823,0.278254363318751,0.27304563459379744,0.31621393202910836,0.2428233507605223,0.2932634087553642,0.35789164471388774,0.19699877219173229,0.23580420383834366,0.17927753028377785,,0.28143394096772173,0.2098075292224983,0.17068733372755296,0.2341897484519697,0.21737633587061667,0.2539679756799141,0.26669552397868046,0.1954632642342651
PRENTER_ACS,0.08643857834343313,0.13050702435009298,0.10571932710478082,0.08822919021450755,0.2016281208284898,0.22164248395049016,0.22542958945138872,-0.04611372715249393,0.1823731477002275,0.23846146600320445,0.18073014218298816,0.09622777549606032,0.04936324005354206,0.011570997457925558,0.0843147317891424,0.011191619762508598,0.14458747881487005,0.12151370799686234,0.07904378495066919,0.1902236103075993,,0.20350166167577038,0.18635966935646409,0.16526660643038027,0.1776881804741314,0.0182782371538161,0.06631737328183329,0.22119534825357706
POPDENS,0.2887157925960094,0.2403017762298853,0.31052173227587665,0.16069203226765805,0.3165794756865288,0.23711247379248904,0.27975216237291844,0.2692703791823727,0.2080571557547234,0.233487336780541,0.23125842476120145,0.2514177103605109,0.259943160082014,0.27332176139490033,0.24105313958796343,0.21117643569366695,0.012202967042624024,0.3568185149247624,0.1482605113534809,0.22366982248699224,0.2808259805331235,,0.1808176472366983,0.465405737427636,0.13802427844846676,0.27814428066197694,0.26210986774895495,0.20343257568633596
QCVLUN,0.14134465519583833,0.08505763524031446,-0.12713961768860893,0.11149542935549675,0.07395367596847653,0.001666874030248039,-0.1390906958494505,-0.06280000491857363,-0.1468075911347597,-0.19020225645652378,-0.08240724929417165,-0.08696226531967888,-0.005478417419459675,-0.0034687113368094546,-0.07958072457241092,-0.08253279777023864,-0.17706965030797273,-0.11839937441171916,-0.1175840210170373,-0.09320925872814312,-0.09483698517122238,-0.14839166032415715,,-0.12180163269164945,-0.14426857510181207,-0.05309059665204896,-0.06569571879430794,-0.15974653208089767
MHSEVAL_ALT,0.043453691765471224,0.03670377445925302,0.1663709781565214,0.04209374050588348,0.14700042159854276,0.10075497482530349,0.125325833487759,0.054128383993984786,0.16627637980610885,0.1114732662367342,0.1574227187712791,0.08633475087592529,0.04962458719512301,0.04715605451620149,0.12336486755375783,0.08822518943740829,0.23732164379535997,0.07444103653023774,0.11393796593619801,0.13966850183017043,0.0840130253337322,0.1093396389832877,0.12838097058793518,,0.14336129535293987,0.06532871202423646,0.060648266543261095,0.14643684379400787
QED12LES_ALT,0.143361843270232,0.14362971197152818,0.22514176071842046,-0.13295337005511168,0.182455287094719,0.32070286741884274,0.21410703684023585,0.20807752850480893,0.1632224085018291,0.11100888158609001,0.20995793200620544,0.1877283193510596,0.23146075541169697,0.22690434941649423,0.21920501069051654,0.22485883164805182,0.13085082058336878,0.1913247835005327,0.141313277958854,0.18680607789590528,0.18751457321127393,0.14951169423418992,0.13918185822832518,0.16150336447580338,,0.2181235448751359,0.20245251913353962,0.1338103767477284
QEXTRCT_ALT,0.29749065782219386,0.2116462185614008,0.25392143517901455,-0.055290732045261456,0.4112210886115866,0.08887408533153741,0.269458470273078,0.2068689810271128,0.22091319431311926,0.1109110676876813,0.11355749115104685,0.16897162983458486,0.10641587975943903,0.10867940919822303,0.20419606954525235,0.28943288173015946,0.10952132545699415,0.21123991377290438,0.11155228721750743,0.09289844509770659,0.12929892820555103,0.13114587159067664,0.05131333440151653,0.1713788906641222,0.08647021034823202,,0.15094532353082465,0.13462218945884344
QASIAN_ACS,0.07899429202336394,0.06100084608112185,-0.07623685199589648,-0.05342176056623098,0.09434921307011117,0.028264749980512233,-0.07748498279367065,-0.11247195484115631,-0.06588449454206761,-0.047980153567583644,-0.08106784118059554,-0.05809780409450284,-0.061925991013330156,-0.06289064327339416,-0.10039446088211913,-0.07622783384542414,-0.18672089999592717,-0.031784850430069955,-0.10570797179603411,-0.07127703963809204,-0.06402158912859832,-0.030729452776768224,-0.06536517637083882,0.07049031465117733,-0.08866524335979505,-0.06916133143321951,,-0.08624064539875799
QPUNIT_ACS,-0.07737808720593933,-0.006427997696123566,0.09671502303543106,-0.2108428943835513,-0.18436836473809007,-0.10832707999327221,0.06495967941817832,0.1724596120235224,0.02793846522981172,-0.036422523921527256,0.021964667795704607,0.1564883736518498,0.21974725424244057,0.21203169616524,0.18472187316306155,0.2284049708709474,0.04819488466063332,0.13089468639115853,0.01949637202398563,-0.003098926612553704,0.17775549016162379,-0.019712845552173036,0.03262059894290177,0.03018159122676306,0.020445721011667972,0.23483205224046078,0.19833798783507367,
