,USA,FEMA_1,FEMA_2,FEMA_3,FEMA_4,FEMA_5,FEMA_6,FEMA_7,FEMA_8,FEMA_9,FEMA_10,g23g33g25,g36,g51,g13,g17,g48,g29,g46,g06,g16
QFEMLBR,0.5056241107660996,0.1017218285251131,0.5085360073035622,0.06993676045213212,0.16179413279704669,0.13970199457422525,0.47999474387650753,0.15852156709391735,0.7896826491861355,0.2814756795810126,0.4060464121197863,0.3031860428103956,0.44896341475264107,-0.19030668377365864,-0.30497830113412,-0.1954343527750484,0.12970226127044623,0.5401937060606413,0.39722529694064285,-0.43176433998282815,0.3646251050671373
QEXTRCT_ALT,0.1145983671802929,0.23317165905061127,-0.1486067719669792,-0.020166180031317205,0.05660601882510807,0.3186635255699721,-0.22811075323219698,-0.05024930489633872,-0.1666082675516325,-0.20543846968637958,0.05155565537949841,0.22387656465345998,0.033279540345767314,0.5137276544782903,0.507932394187845,0.387602501066981,0.0045910950343635015,0.10819909999934123,0.15197983714632562,0.8928363610481446,0.09131543858711642
QSERV_ALT,0.6476119871113156,-0.11751164806332953,0.42779112000744224,0.6558362661352612,0.8111889439785662,0.1070857635276452,0.6145438132819234,0.20620965238998706,0.2008087911014058,0.3491561560621496,0.4429444178234214,-0.09710109833106657,-0.019499880838769773,0.23093423110086242,0.09985335805623241,0.31730551033336213,0.3882729900268539,0.2563038625028913,0.2414407367972205,0.3169686891460568,0.162707947199686
QSSBEN,0.4022527862697738,0.4647073643714201,0.13353913831840283,0.2417515604144633,0.24886137093329738,0.3080106544830038,0.3391263218468496,0.1683471381764882,0.678540387328832,0.4720225487274599,0.26781149677665406,0.499882991837603,0.31315043099475726,0.24199080119394906,0.23425979329675733,0.17706534753108719,0.2647946357576133,0.23799601090167433,0.36313645460910504,0.2618692213767954,0.1680811719161326
QNOAUTO_ALT,0.39932364640584717,0.0804266649636912,0.35273887502928675,0.09664189652245611,0.23762634955622897,0.5861180867945934,0.0438244443610635,0.3384916716851662,0.24332373221854153,0.5695722150746048,0.3188451804387769,0.0007718230708798797,0.2139422641804206,0.3100662368179146,0.31308689652913463,0.13754109524657052,0.44859351575944356,0.06881838714135359,0.015364377910742646,0.4726696872830137,0.21739344446739248
QFAM,0.293890087396954,-0.09147796687976367,0.24536454768287497,0.28725086433346847,0.1953681695936863,0.38237520607189457,-0.043125159563476345,0.5047674817463838,0.18089057427532063,0.2952883883087702,0.5043285683235322,0.04807745821461473,0.5428711497786979,0.09949743106396261,0.08397016141726152,0.071268225481042,0.4452448996917256,0.4862778772679468,0.2803739264760049,0.05150281986004572,0.5493295939917009
QRICH200K,0.21529481021776786,-0.19597016811841403,0.07471593305834179,0.11990602542560741,0.21454226976890628,0.09744560808508676,0.26332602144861816,0.03446140868768546,0.30602543325924847,-0.1512853695539026,0.14983942008666012,-0.16093275957907385,0.2168995116403744,-0.04251741815308441,-0.3045588257369203,0.04418185327683283,0.1557813533494913,0.04856943278385427,0.5469086904791797,-0.14867650744164562,0.17198088030982034
MDGRENT_ALT,0.22647345809983785,0.26685462195346465,0.13120591633742024,0.03696935570798252,0.05896905209155061,0.24178849875974892,0.3012764591442418,0.30749834943344384,-0.11878144522529205,0.059133360794779224,0.06507455038001692,0.2005802750001225,0.29618842087633473,0.08240083012365723,0.29810987993287386,0.27559883073653135,0.3519773917686029,0.17655811862669207,0.14653256890642702,0.0672388058740202,0.0619546437344303
MHSEVAL_ALT,0.14497285899024337,0.26861983557473673,-0.06305698436440325,0.09329271730716764,0.05084331875072674,0.10607083458609087,0.1754766627629571,0.43491620748720905,-0.10062800515580173,-0.3396419197792754,0.07909338869478744,0.1063842663609944,0.1177411424156011,0.08894304040774895,0.036442957908505436,0.1530243110885957,0.3381032931204977,0.273585176344825,0.09471318367503448,-0.1588724355308992,0.3151108600642567
POPDENS,0.15507387953497034,-0.07154103323396771,0.3831040841596056,0.10077507249446621,0.1597091111206696,0.2689178372841123,0.2033136421161102,0.09759521032561698,0.6516149064455122,0.34645932499472765,-0.2524354317794945,-0.19395699215342388,0.16692370833335998,0.30670535819163713,0.2313603093241372,0.12514079231564307,0.3206905912588984,0.08296534384702216,0.20873925133317728,0.41155523241692454,0.17531287185765804
