,B01002_001E,B03002_001E,B03002_004E,B03002_005E,B03002_006E,B03002_012E,B06001_002E,B09020_001E,B01003_001E,B25008_001E,B25002_002E,B25003_003E,B25002_001E,B09020_021E,B01001_026E,B11001_006E,B11001_001E,B25002_003E,B19025_001E,B23022_025E,B23022_049E,B23022_001E,B17021_002E,B17021_001E,B25024_010E,B25024_001E,C24010_038E,C24010_001E,B19055_002E,B19055_001E,B09002_002E,B09002_001E,B19001_017E,B06007_005E,B06007_008E,B06007_001E,B16010_002E,B16010_001E,C24050_002E,C24050_001E,C24050_029E,B08201_002E,B08201_001E,B25064_001E,B25077_001E,GEOID
924,33.9,27531,12611,8,245,1879,1736.0,3126,27531,25166,9394,3121,11031,42,14127,1579,9394,1637,505962000,2459,3938,18977,6670,25116,1783,11031,4950,11310,2803,9394,3134,5109,81,700.0,132.0,25795.0,3207,16571,359,11310,2003,1007,9394,633,120000.0,13225
925,38.6,18631,1687,39,69,872,1584.0,2586,18631,18472,7068,1747,7956,80,9457,1004,7068,888,352317000,1561,2556,11851,3820,18364,2755,7956,3255,7207,2661,7068,2674,3945,66,456.0,43.0,17047.0,2739,12260,395,7207,1370,511,7068,489,82400.0,13229
926,38.3,17765,1899,55,75,199,986.0,2242,17765,17529,6129,982,6800,47,9057,857,6129,671,388684500,1318,1742,11381,1916,17376,888,6800,3811,7813,2079,6129,2887,3988,89,24.0,13.0,16779.0,1817,11672,90,7813,1030,158,6129,835,156400.0,13231
927,39.7,14574,6416,6,10,100,985.0,2181,14574,14166,4861,1244,6762,47,7537,793,4861,1901,227692600,1535,2071,9266,3537,14253,2414,6762,2570,5148,1814,4861,1650,2810,61,47.0,45.0,13589.0,2197,9575,289,5148,983,495,4861,513,77200.0,13251
928,36.2,25023,7127,56,107,2554,1543.0,2924,25023,20861,8028,2329,9902,185,10706,1136,8028,1874,380845700,5460,2725,17416,5325,20666,3434,9902,3697,8092,2919,8028,2816,4477,164,1109.0,40.0,23480.0,4127,16987,583,8092,1432,748,8028,487,84200.0,13267
929,39.6,68463,2886,273,178,1125,4123.0,10316,68463,67199,26251,7074,30036,369,34892,3134,26251,3785,1373670200,5773,7256,43527,11051,66894,4295,30036,13174,27652,9509,26251,9836,13312,380,333.0,143.0,64340.0,10477,46912,210,27652,4394,1453,26251,632,107400.0,13295
930,33.8,810624,184809,1296,86435,162252,62708.0,56865,810624,805344,264592,80662,291547,1280,410631,36757,264592,26955,20692091900,44998,80846,544975,109870,804399,4837,291547,179107,388595,41493,264592,159203,215515,11466,67523.0,47601.0,747916.0,64729,506708,732,388595,58596,7308,264592,988,180700.0,13135
931,38.0,12954,3121,41,0,1484,720.0,1641,12954,11463,3755,825,4446,44,5597,506,3755,691,192535500,1693,1568,9070,1749,11488,1953,4446,1836,4276,1343,3755,1421,2332,73,418.0,0.0,12234.0,2939,9148,97,4276,984,600,3755,722,76500.0,13049
932,36.7,99872,9921,427,727,7599,6983.0,10793,99872,98879,34598,10809,39680,371,50541,4240,34598,5082,2102038900,7672,11168,65145,15831,98746,5499,39680,20151,42991,9291,34598,16759,23391,571,3398.0,257.0,92889.0,12830,64873,482,42991,6853,1538,34598,774,137600.0,13015
933,35.0,132124,51089,516,2108,10990,9701.0,11482,132124,130863,45905,13441,51452,218,68472,7994,45905,5547,3092223600,8771,14174,87953,17450,130401,2292,51452,28555,59497,9886,45905,22190,32380,1241,3688.0,1869.0,122423.0,11271,83634,107,59497,7998,1488,45905,926,146900.0,13097
934,35.7,14972,2279,27,47,1539,1236.0,1904,14972,14858,5709,1734,6434,57,7492,642,5709,725,252845400,1128,2036,9337,3822,14842,1942,6434,2332,5642,1761,5709,2427,3643,42,480.0,21.0,13736.0,1996,9349,243,5642,811,380,5709,437,78700.0,13161
935,35.4,691820,169946,1517,31101,84703,48691.0,61537,691820,683372,259715,84246,286528,1810,355223,33352,259715,26813,22664873700,33183,62494,473985,81418,682799,4133,286528,167575,353496,49282,259715,117477,159199,18447,33667.0,16583.0,643129.0,41948,452004,900,353496,50615,10865,259715,968,203000.0,13067
936,39.2,16598,211,44,127,302,934.0,2437,16598,15437,6463,1396,7249,53,8419,649,6463,786,361098800,1080,1652,11184,2536,15431,1673,7249,3529,7507,1997,6463,1868,2750,115,24.0,59.0,15664.0,2034,10980,198,7507,1348,210,6463,680,118700.0,13083
937,44.2,10398,4382,141,0,360,670.0,1998,10398,10208,4090,1230,5158,56,5469,656,4090,1068,156594200,1009,1502,6337,2933,10181,991,5158,1653,3522,1827,4090,953,1871,34,111.0,0.0,9728.0,1804,7204,239,3522,632,483,4090,567,102300.0,13317
938,40.6,16066,5669,6,58,836,1019.0,2622,16066,15837,6445,2080,7685,147,8228,993,6445,1240,322177200,1411,1688,10115,3525,15809,2041,7685,3074,6441,2388,6445,1906,3018,138,400.0,83.0,15047.0,2357,10688,532,6441,1227,403,6445,584,100600.0,13027
939,36.0,55192,2170,162,557,7789,4220.0,6410,55192,54653,19194,6189,22206,255,27836,2244,19194,3012,984585700,4010,6628,35672,10838,54368,2956,22206,10362,23399,5486,19194,10078,13069,299,4367.0,327.0,50972.0,9490,35335,362,23399,3109,1262,19194,658,118500.0,13129
940,41.2,20103,6040,40,33,999,1265.0,3387,20103,19843,7726,2317,9568,140,10537,1510,7726,1842,359259700,1739,2295,12592,3976,19843,2321,9568,4016,7781,3146,7726,2292,3789,56,465.0,10.0,18838.0,3151,13588,459,7781,1490,599,7726,566,85100.0,13105
